Vector Results

,,,Rabin-Karp,,,,Boyer-Moore

Input size,,BM 1,BM 2,BM 3,,Rk 1,Rk 2,RK 3,
10000,,6122166,5980251,6001839,,655428,650473,649766,
20000,,17517131,17568093,17466876,,1862945,1863299,1952128,
30000,,34555077,34489959,35091240,,3797732,3604855,3729075,
40000,,57452947,57633437,56659142,,5859924,6263727,5928935,
50000,,86719653,86938365,86371413,,9222709,9320387,8727953,
60000,,119780906,120734320,121592534,,12245394,12544795,12354395,
70000,,161202406,160523267,161649031,,16974952,16778889,16756593,
80000,,205866365,205423986,206556476,,21323002,21274871,21151359,
90000,,258397938,258058545,255645636,,28483873,26715420,25998413,
100000,,312362111,313467349,313080180,,32258601,31605297,32378574,
110000,,374045966,375999156,376326516,,38598063,38892865,38368026,
120000,,436973082,453649341,440407710,,45586937,45224187,45213216,
130000,,521566133,517313282,517586850,,52539359,53069859,53134624,
140000,,601259045,593947766,592478715,,61373129,61445325,60967202,
150000,,679284366,681662947,683166327,,68524090,69563857,69632160,
160000,,767541727,772908310,766002604,,80353648,81033142,78215721,
170000,,864011759,871352765,871902023,,88917036,89096819,87776053,
180000,,969984081,969775279,979626519,,99283205,101290542,97674363,
190000,,1075400777,1073878995,1107345820,,111866930,108748337,109830218,
200000,,1185299299,1186905310,1200549328,,120884375,120332640,120905255,
