List Results

,,,Boyer-Moore,,,,Rabin-Karp

Input size,,BM 1,BM 2,BM 3,,RK 1,RK 2,RK 3,
10000,,770093,649766,664629,,6189407,6132429,6147293,
20000,,1797472,1886302,1889842,,17654445,17607729,18022150,
30000,,3695454,3728367,3771897,,35652176,34469078,35037446,
40000,,5887175,6156140,6316105,,57052682,58204636,58122531,
50000,,8977808,9114061,9011783,,86480769,86971278,86325052,
60000,,12248578,13063263,13291530,,120692205,119792939,121475039,
70000,,15961020,16937084,17037593,,160807804,160072748,161937463,
80000,,21077039,21805372,22549983,,208425082,206968065,206889852,
90000,,26395492,28060605,26899450,,260339450,255590073,255388348,
100000,,32432368,33588922,34197281,,309934337,313500263,316198772,
110000,,39695162,39866098,39734092,,379274882,376213975,379373267,
120000,,46193527,46338981,45861212,,446618706,448754510,446322843,
130000,,54193148,54657822,54165897,,523874289,520768791,524602621,
140000,,61748973,62573567,63174495,,600623081,598210880,601487312,
150000,,71400967,72492403,71725850,,685361586,684339161,683202071,
160000,,80211733,81501001,81203369,,770588831,775564705,779120368,
170000,,89982991,91011787,90815017,,875006813,874268925,874937802,
180000,,101369109,100233081,101696115,,973273609,975721909,1009217755,
190000,,111177881,113501253,112834854,,1085841974,1081871184,1083634681,
200000,,123499717,126505414,124773767,,1210701386,1200246742,1207091576,
