Vector Results

,,,Rabin-Karp,,,,Boyer-Moore

Input size,,BM 1,BM 2,BM 3,,Rk 1,Rk 2,RK 3,
10000,,354,708,354,,354,354,0,
20000,,354,354,354,,707,0,0,
30000,,354,0,0,,354,354,353,
40000,,354,354,354,,354,354,354,
50000,,0,354,354,,0,0,0,
60000,,0,354,354,,0,354,354,
70000,,354,354,0,,0,0,0,
80000,,0,353,354,,354,354,0,
90000,,354,0,354,,354,353,353,
100000,,354,354,354,,354,353,354,
110000,,354,354,0,,0,354,354,
120000,,708,354,354,,0,354,0,
130000,,354,354,354,,354,0,0,
140000,,0,354,354,,0,354,0,
150000,,354,354,0,,354,354,354,
160000,,354,0,0,,354,354,354,
170000,,0,354,354,,354,354,354,
180000,,0,0,354,,354,0,353,
190000,,353,354,354,,354,354,0,
200000,,354,0,0,,0,0,0,
