List Results

,,,Boyer-Moore,,,,Rabin-Karp

Input size,,BM 1,BM 2,BM 3,,RK 1,RK 2,RK 3,
10000,,3539,1416,708,,1061,1061,1416,
20000,,3539,2478,3185,,2123,1416,3539,
30000,,3185,1770,1062,,2477,2478,1062,
40000,,2831,1769,1770,,1415,1061,2477,
50000,,3538,3185,2124,,1415,1062,1061,
60000,,1416,1062,1062,,1062,707,708,
70000,,2831,1062,1061,,1416,1062,1061,
80000,,1770,1061,1062,,1416,1062,2123,
90000,,2832,1416,1061,,1062,708,1062,
100000,,2831,2123,2832,,2124,2123,2478,
110000,,2124,1769,1416,,2123,2124,1061,
120000,,2124,1062,1062,,1416,1061,1061,
130000,,1769,1062,708,,1062,708,1062,
140000,,2123,708,1061,,1416,1062,1062,
150000,,1416,1770,1062,,1416,708,708,
160000,,2124,1416,1062,,1062,1061,707,
170000,,1416,1061,708,,1062,708,708,
180000,,2123,1062,708,,1061,708,708,
190000,,1415,1061,1062,,1062,1062,1062,
200000,,1769,1061,708,,1061,708,708,
